Category,System Name,State,Detail,Recommendation
Paratransit Reclassification,Snowmass Dial-a-Ride,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,RFTA Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Broomfield Easy Ride,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Summit Stage Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Town of Vail Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,The Lift Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,SMART Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Envida Transit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Fountain Transit DAR,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Gunnison Valley RTA Paratransit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Mountain Express DAR,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,SRC Transit,CO,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Wheels Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,ParaCruz / On-Demand,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Van Go!,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Handy Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Burbank Bus Senior & Disabled,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Glendale Beeline Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Pasadena Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Torrance Transit Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Visalia Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,RYDE,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,MTA Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Kern Transit Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Ridgecrest Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Taft Area Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,El Dorado Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,County Connection LINK,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Petaluma Paratransit,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,California City DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,IVT Access,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,ESTA Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Tuolumne County DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Calaveras Connect DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Madera Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Plumas Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Lassen Rural Bus DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Yuba-Sutter Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,TTD Demand Response,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Amador Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Culver CityBus DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,GTrans Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Dixon Readi-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,LADOT Cityride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Roseville Transit Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Long Beach Transit Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Tracer Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Lodi Transit Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,B-Line Paratransit,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Corona Cruiser Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Cerritos Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,City Coach DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Delta Breeze DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Simi Valley DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Thousand Oaks DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Bellflower Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Paramount Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Manteca Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Lompoc Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Barstow Area Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,San Clemente Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Norwalk Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Woodland Transit DAR,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Davis Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Porterville Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Redondo Beach Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Compton Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,TRAX Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Paratransit Reclassification,Monterey Park Dial-A-Ride,CA,"Reclassified from ""Demand-Response"" to ""Paratransit"" based on eligibility restrictions in name/notes (ADA, senior, disabled, etc.)",Verify classification; reclassify back if general-public service
Data Quality,All supplemental entries,CA/CO,Coordinates in supplemental JSON files typically point to city hall/downtown centroid rather than service zone center. Adequate for national map view but imprecise for zoomed views.,Consider refining coordinates for key systems
File Naming,Califonia_ODT_list.json,,"Source filename is misspelled (""Califonia"" instead of ""California"").",Rename file if used in any pipeline
Status Change (unverified in data),OC Flex,CA,"OC Flex was discontinued effective July 1, 2025 per OCTA website (octa.net). Dashboard still shows status ""Active"". Verified June 2026.",Update status to Inactive/Discontinued after confirmation.
Scope Question (unverified in data),SacRT Flex,CA,"SacRT Flex may be eligibility-restricted (seniors/disabled/low-income). Previous review recommended reclassifying to Paratransit. Dashboard still shows type ""Microtransit"". Not yet independently verified.",Verify eligibility requirements against SacRT website before changing type.
Data Gap (new-state research),AnchorRIDES,AK,"Unverified/missing fields at add time (State expansion research 2026-07): vendor (scheduling technology not identified); launch_year; fleet size / vehicle description; precise service hours (times not published, tied to People Mover)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),CAPITAL AKcess (formerly Care-A-Van),AK,Unverified/missing fields at add time (State expansion research 2026-07): vendor (no technology/booking-software vendor identified; phone-only); fare (a newsroom source suggested no-cost but the official page does not state a fare amount; unconfirmed); hours (actual service span not published; only reservation-line hours 8:00am-4:30pm found); launch_year (original Care-A-Van start date not found; only the 2020 rename); fleet (new buses noted in 2020 but no vehicle count or capacity),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Valley Transit Demand Response,AK,"Unverified/missing fields at add time (State expansion research 2026-07): launch_year unverified; vendor (TripSpark/MyRide) inferred from 'MyRide' portal branding but not explicitly confirmed on site; fleet size (~7 vehicles) not confirmed by an official source; ridership ~24,700/year and 'daily waitlists' not confirmed by an official source; funding sources (FTA 5311/State/Local) plausible for rural AK transit but not explicitly documented on official site",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Van Tran,AK,Unverified/missing fields at add time (State expansion research 2026-07): vendor; fare; launch_year; fleet; funding (FTA/Local plausible for ADA paratransit but not independently document-confirmed),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),BRATS On-Demand,AL,Unverified/missing fields at add time (State expansion research 2026-07): fleet size/vehicle description unverified; system_type Microtransit vs Demand-Response is a judgment call (SUMC frames as microtransit; service is countywide door-to-door); funding State/Local match not explicitly confirmed beyond typical FTA 5311/5307 structure; online booking method not confirmed on official site (only app and phone verified),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),ClasTran,AL,Unverified/missing fields at add time (State expansion research 2026-07): vendor; fleet; state funding component (not confirmed); exact ridership/performance figures,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),MAX On-Demand (formerly Birmingham On-Demand),AL,Unverified/missing fields at add time (State expansion research 2026-07): fleet size (number of vans); full service hours for all current zones; current post-transfer funding breakdown / FTA program specifics; ridership figures,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),MoGo Rideshare,AL,Unverified/missing fields at add time (State expansion research 2026-07): fleet size (vehicle count not specified in any source); exact current status relative to July 2026 network consolidation (branding/continuity unconfirmed); service-area centroid lat/lng approximated from downtown Mobile,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),The M: Micro Transit,AL,"Unverified/missing fields at add time (State expansion research 2026-07): funding — candidate claimed FTA Section 5307 but the official page does not state a funding source; could not independently confirm the specific grant; launch_year — not stated on official site; fleet size — vehicle type confirmed (executive-style black vans) but count not published; lat/lng — approximate multi-zone service-area centroid, not an official geometry",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Tuscaloosa Transit Demand Response,AL,Unverified/missing fields at add time (State expansion research 2026-07): vendor; launch_year; funding; fleet size (only vehicle description confirmed),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),GOJO Paratransit (formerly JET Paratransit),AR,"Unverified/missing fields at add time (State expansion research 2026-07): vendor; fare; hours; launch_year; fleet; scheduling advance-notice window (assumed advance per ADA norms, not confirmed on source page); funding (Federal+Local inferred from municipal FTA-funded transit, not explicitly stated)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),METRO Connect,AR,Unverified/missing fields at add time (State expansion research 2026-07): fleet size/vehicle description not published; exact per-zone service hours not fully enumerated; precise funding breakdown (specific FTA grant vs. local share) not confirmed,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),ORT On-Demand,AR,"Unverified/missing fields at add time (State expansion research 2026-07): fleet: current fleet size/vehicle types not published (only a 2022 press figure of ~2 buses per zone); launch_year: 2020 inferred from press (""two years prior in Rogers"" as of 2022); exact first-service date not confirmed on an official page; fare: current official page states $1.25, but earlier app/press materials described the service as zero-fare — possible historical change, not fully reconciled; funding: agency is FTA-funded (Federal) plus Local; the specific FTA 5307/5311 program split claimed by the candidate was not independently confirmed",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),DART Connect,DE,"Unverified/missing fields at add time (State expansion research 2026-07): fleet: ~11-seat minibuses and Newark's two-vehicle launch cited from candidate/news but not confirmed on official DART page; funding: FTA grant confirmed; specific 'Accelerating Innovative Mobility (AIM)' program name and State share not verified on primary source; notes: specific ridership figure (43,861 rides) and DART Reimagined ~9-zone-by-2030 target not verified against a primary source; lat/lng: service spans three geographically separate zones across two counties; centroid placed in the Sussex (Georgetown/Millsboro) cluster rather than a true multi-zone centroid",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),DART First State Paratransit,DE,Unverified/missing fields at add time (State expansion research 2026-07): vendor (online reservation technology provider unknown); launch_year; fleet size (candidate claimed 286 paratransit vehicles; not independently verified); funding (Federal/State inferred from FTA ADA mandate + DelDOT operation; not explicitly stated on source pages),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Hele-On Ka Hoʻokele (Rural Door-to-Door Service),HI,"Unverified/missing fields at add time (State expansion research 2026-07): vendor (no technology vendor identified; phone-booked, likely manual dispatch); launch_year not stated on official sources; fleet size/vehicle type not specified; funding: local county confirmed; federal (FTA 5311) plausible for rural transit but not explicitly stated on source pages",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Hele-On Kākoʻo Paratransit,HI,"Unverified/missing fields at add time (State expansion research 2026-07): funding: 'Federal, Local' is consistent with a county FTA-supported ADA paratransit program but not explicitly stated in a source located; fleet: paratransit-specific vehicle count/type not published (only MTM staffing and parent-system fleet); launch_year: MTM contract start (Jan 1, 2023) confirmed; original service launch date not independently separated",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Maui Bus ADA Paratransit Service,HI,Unverified/missing fields at add time (State expansion research 2026-07): vendor; launch_year; fleet,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Seniors and Persons with Disabilities Demand Response Transportation (Hele-On / Hawaiʻi County),HI,Unverified/missing fields at add time (State expansion research 2026-07): fare (candidate said 'Reduced cost' but not verified from an official source); federal funding component (only local County of Hawaiʻi Mass Transit Agency funding confirmed; FTA involvement likely but unverified); vendor / booking technology (appears to be manual phone dispatch; no tech vendor confirmed); launch_year; exact fleet size; confirmation that scheduling is advance-reservation vs same-day,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),The Kauaʻi Bus Paratransit Service,HI,Unverified/missing fields at add time (State expansion research 2026-07): hours (candidate claimed it matches fixed-route hours but no source verified specific times); funding (Federal ADA mandate + County operation is consistent but not explicitly stated on a verified source); fare (specific dollar amounts by category not confirmed); launch_year; fleet; vendor (appears operated in-house; no technology vendor identified); lat/lng (Lihue hub used as approximate centroid; island-wide service area),Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),TheHandi-Van,HI,"Unverified/missing fields at add time (State expansion research 2026-07): fleet (candidate claimed ~190 vans; not independently verified — set to Not specified); launch_year (not verified); weekday boardings (~2,895 claimed but not independently verified); exact current low-income fare after 7/1/2026 fare change",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),DART Bus Plus (Paratransit),IA,"Unverified/missing fields at add time (State expansion research 2026-07): vendor (scheduling/technology vendor not identified); launch_year; fleet size / vehicle description; funding sources inferred from standard public-transit funding, not explicitly confirmed on a source page; exact recertification interval (candidate's '3 years' not verified)",Follow up to source these fields; row added with 'Not specified' placeholders
