Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
GREAT+,NC,Designated zone in Greenville,Urban,Greenville Area Transit (GREAT),Microtransit,Not specified,Not specified,Same-day,Free,Not specified,Not specified,Not specified,Active,Not specified,Serves an area previously covered by a fixed route.,https://greatgreenville.com,35.61,-77.37,Original database
Buzzline,NC,Designated area in Sanford/Lee County,Rural,COLTS Transportation,Microtransit,Not specified,Not specified,Same-day,Not specified,Not specified,Not specified,State (NCDOT),Pilot,Not specified,Pilot program supported by NCDOT.,Not specified,35.48,-79.18,Original database
GoGastonia,NC,City of Gastonia,Urban,"River North Transit, LLC (Tech by Via)",Microtransit,Via,"App, Phone",Same-day,Regular: $2.50 / Reduced: $1.25,Not specified,2024,Not specified,Active,22 minivans · incl. 6 WAVs (Via-operated),"Launched July 2024, replaced all fixed-route buses.",https://gogastonia.com,35.26,-81.19,Original database
JUMP Transit,NC,"NoDa, Optimist Park, Villa Heights, Howie Acres (Charlotte)",Urban,JUMP Transit,Microtransit,Proprietary,Website,Same-day,$3.00 ,Not specified,Not specified,Private,Active,Not specified,Private service focused on connecting popular neighborhoods.,https://jumptransit.com,35.24,-80.81,Original database
PART On-Demand,NC,Zone around Piedmont Triad International Airport (GSO),Suburban,Piedmont Authority for Regional Transportation (PART),Microtransit,Not specified,"App, Phone",Same-day,"Umo App/Card, Credit Card",Not specified,Not specified,Not specified,Active,Not specified,"Ridership grew from 60,110 in 2023 to 72,661 in 2025.",https://partnc.org,36.1,-79.94,Original database
HPTSGo!,NC,Northwest High Point zone,Urban,High Point Transit System,Microtransit,Not specified,Phone,Same-day,$2.50 (Umo App/Card),Not specified,Not specified,Not specified,Pilot - Ended,Not specified,"Pilot ran through March 2026; no public data released. [NTD 2024: parent agency reported 532,979 total trips across all modes, 18 peak vehicles agency-wide; on-demand share is a subset]",Not specified,35.96,-80.01,Original database
YVEDDI GOTransit,NC,"Davie, Stokes, Surry, and Yadkin counties",Rural,YVEDDI,Demand-Response,Not specified,"Phone, Website, App",Advance,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Serves a four-county rural area.,https://yveddi.com/gotransit,36.13,-80.66,Original database
Kerr Area Regional Transit (KARTS),NC,"Vance, Warren, Franklin, and Granville counties",Rural,KARTS,Demand-Response,Not specified,Not specified,Advance,Not specified,Not specified,Not specified,State (MEE-NC),Active,Not specified,Part of the MEE-NC initiative to expand on-demand services.,https://karts.org,36.33,-78.4,Original database
Tar River Transit RGP,NC,Rocky Mount and surrounding counties,Rural,Tar River Transit,Demand-Response,Not specified,Phone (advance booking),Advance,Not specified,Not specified,Not specified,"Federal, State",Active,Not specified,Rural General Public demand-response service.,https://tarrivertransit.org,35.94,-77.8,Original database
Arlington Transportation (Via),TX,City of Arlington (citywide),Urban,City of Arlington (Tech by Via),Microtransit,Via,"App, Phone",Same-day,$3.00 ,"Mon–Fri 6am–9pm, Sat 9am–9pm",2017,Local,Active,~90 vehicles · Toyota Sienna hybrid-electric minivans (6-pass); AV fleet of 4 Lexus RX450h + 1 Polaris GEM WAV,Ridership increased tenfold since launch; ~70 vans citywide. First U.S. city to replace fixed-route service entirely with on-demand.,https://city.ridewithvia.com/arlington,32.74,-97.11,Original database
Houston Community Connector,TX,"Second Ward, Third Ward, The Heights, Downtown Houston",Urban,Evolve Houston / Houston Metro,Microtransit,Ride Circuit,Ride Circuit app,Same-day,Free,Not specified,2023,"Federal, Local (Houston Metro)",Active - Expanding,19 EVs · Electric vans (grew from 2),Fleet grew from 2 to 19 EVs; 46% of trips connect to METRO transit stops.,https://www.ridemetro.org,29.76,-95.37,Original database
Tyler Transit MicroTransit,TX,City of Tyler (3 zones),Urban,Tyler Transit,Microtransit,Tyler Transit app,"App, Phone",Same-day,$1.00 ,"Mon–Fri 6am–7:30pm, Sat 9am–5:30pm",2025,Local,Active,Not specified,"Full conversion from fixed-route service to citywide microtransit in January 2025. [NTD 2024: 220,957 annual trips, 28 peak vehicles]",https://tylerbus.org,32.35,-95.3,Original database
Sugar Land On-Demand,TX,"Designated zone in Sugar Land (~43,000 residents)",Suburban,City of Sugar Land (Tech by Via),Microtransit,Via,"Sugar Land On-Demand app, Phone",Same-day,~$2.00,Not specified,2024,"Federal (CMAQ), Local (Fort Bend County)",Active,Not specified,"42,934 trips in first year; 4.9/5 average rider rating.",https://www.sugarlandtx.gov/2792/Microtransit-Pilot-Project,29.62,-95.63,Original database
DCTA GoZone,TX,"Denton, Highland Village, Lewisville",Suburban,Denton County Transportation Authority (Tech by Via),Microtransit,Via,"GoZone app, Phone",Same-day,Not specified,Not specified,2021,"Federal, Local",Active,Not specified,"~3,000 weekly riders; average 16-minute wait time.",https://www.dcta.net/getting-around/gozone,33.21,-97.13,Original database
GoZone Frisco,TX,Frisco (~21 sq miles),Suburban,Denton County Transportation Authority (DCTA),Microtransit,Via,"GoZone app, Phone",Same-day,$3.00–$5.00,Mon–Fri 6am–6pm,2026,"Federal, Local (City of Frisco)",Active - New,Not specified,Approved under $15M contract through 2029; connects to DART park-and-ride.,https://www.dcta.net,33.15,-96.82,Original database
Trinity Metro On-Demand,TX,Multiple zones in Fort Worth/Tarrant County,Urban,Trinity Metro (Tech by Via),Microtransit,Via,"Trinity Metro On-Demand app, Phone",Same-day,Integrated local fare,Not specified,Not specified,Local,Active,Not specified,"Multiple zones including Mercantile, North Side, Southeast; integrated with TEXRail commuter rail.",https://ridetrinitymetro.org/on-demand,32.75,-97.33,Original database
Cavazos Connector,TX,"Fort Cavazos + Killeen, Temple, Belton, Copperas Cove, Harker Heights",Mixed (Military/Urban),Hill Country Transit District / US Army,Microtransit,Not specified,App,Same-day,"Free (military/DOD), $2.00 civilian",Not specified,2024,Federal (Dept. of Army),Active,Not specified,"~40,000 passengers/month; only microtransit on a continental US Army installation.",https://www.hillcountrytransit.org,31.12,-97.73,Original database
REAL Microtransit (Rockport/Fulton),TX,Rockport/Fulton area (9-county rural district),Rural,Rural Economic Assistance League (REAL),Microtransit,Not specified,Not specified,Same-day,Not specified,Not specified,Not specified,"Federal, State",Active,Not specified,Part of broader rural demand-response network; connects to Corpus Christi.,https://www.realcap.org/transportation,28.02,-97.05,Original database
DART GoLink,TX,"34 zones across 700 sq mi DART service area: Dallas, Plano, Richardson, Garland, Rowlett, Irving, Farmers Branch, Duncanville, DeSoto, Cedar Hill, Mesquite, and more",Urban,Dallas Area Rapid Transit (DART); operated by Transdev since Oct 2024,Microtransit,Spare,"GoPass app, Phone (214-979-1111)",Same-day,Standard DART fare (covered by valid DART pass or GoPass card); Uber option available for shorter waits,Mon–Sun (hours vary by zone),2017,"Local (DART), Federal",Active - Expanding,Not specified · Mix of DART agency vans (Transdev-operated) and Uber vehicles,"North America's largest microtransit operation. Launched 2017 in 4 zones; grew to 34+ zones. 925,000 rides in FY2023. Reduces route subsidy by up to 43% vs. fixed routes. Uber integrated into GoPass app 2024. New Transdev $602M contract (Oct 2024) brought full fleet refresh.",https://www.dart.org/guide/transit-and-use/golink,32.77,-96.9,Original database
Denver Connector,CO,"Montbello, Gateway, Globeville, Elyria-Swansea, West Denver (expanding)",Urban,City and County of Denver,Microtransit,Via,"App, Phone",Same-day,Free,Not specified,2021,"Local, RTD",Active - Expanding,Not specified,"Expanded from pilot to mature program in 2024; new $6M contract adds Villa Park, Barnum, Westwood, Ruby Hill.",https://www.denvergov.org/connector,39.78,-104.88,Original database
Link on Demand (Lone Tree),CO,Lone Tree and Meridian,Suburban,City of Lone Tree (Tech by Via),Microtransit,Via,"App, Phone",Same-day,Free,Not specified,2018,Local,Active,Not specified,One of Colorado's earliest microtransit deployments; expanded to Meridian in 2024.,https://lonetreeco.gov,39.53,-104.87,Original database
Highlands Ranch Microtransit,CO,"Highlands Ranch, Douglas County",Suburban,Douglas County (Tech by Via),Microtransit,Via,"App, Phone",Same-day,Free,Not specified,2025,Local ($2.9M contract),Active - New,Not specified,Launched spring 2025; focused on mobility for older adults.,https://www.douglas.co.us,39.55,-104.97,Original database
RTD FlexRide,CO,"17 zones across Denver metro: Brighton, Broomfield, Broomfield North, DTC, Evergreen, Federal Heights, Golden, Green Mountain, Interlocken/Westmoor, Longmont, Louisville, Parker, Platte Valley, South Jeffco, Superior, Thornton, Wagon Road",Suburban,Regional Transportation District (RTD),Microtransit,RTD FlexRide app,"RTD FlexRide app, RTD website, Phone",Same-day (min 10 min advance),Standard RTD fare (~$2.75),Mon–Fri 5:30am–7pm (varies by zone),Not specified,Local (RTD),Active,Not specified,17 zones consolidated over time; DTC FlexRide merged 8 southeast zones into one in Feb 2026. First/last-mile connector to RTD rail and Park-n-Rides.,https://www.rtd-denver.com/routes-services/other-services/flexride,39.73,-104.95,Original database
RIDE Longmont,CO,City of Longmont,Urban,City of Longmont (Tech by Via),Microtransit,Via,"RIDE Longmont app, Phone",Same-day,$2.00 ($1.00 students/seniors/disabled),"Mon–Sat 6am–8pm, Sun 9am–5pm",2024,"Federal (Community Project Funding $1M), Local (RTD $450k)",Active,Not specified,"Launched Dec 9, 2024; over 10,000 rides in first few months; free for first month. Fills RTD coverage gaps and provides first/last-mile connections.",https://longmontcolorado.gov/ride-longmont,40.17,-105.1,Original database
DuranGO! Microtransit,CO,City of Durango (city limits),Urban,City of Durango / Durango Transit,Microtransit,Not specified,DuranGO! app,Same-day,$2.00 ($1.00 seniors/disabled); Fort Lewis College students free,Daily 5pm–Midnight,2023,State (CDOT grant),Active,Not specified,"Launched Oct 18, 2023; evening and outdoor recreation service. DuranGO! Outside added summer 2025 for rides to trailheads and parks (10am–6pm, June–Sept).",https://www.durangoco.gov/1724/DuranGO-Microtransit,37.28,-107.88,Original database
Ride Free Lafayette,CO,City of Lafayette (with service to Kestrel community in Louisville),Suburban,Boulder County Transportation,Microtransit,Ecolane,"Ride Free Lafayette app, Online, Phone",Same-day (advance up to 30 days),Free,Mon–Sun 7am–8pm,2020,"Local (DRCOG grant, Boulder County Trails & Transit sales tax)",Active,Not specified,"Free, door-to-door service open to all; no trip limits. Funded through successive grant cycles since 2020.",https://bouldercounty.gov/transportation/multimodal/ride-free-lafayette/,39.99,-105.09,Original database
Erie Bee,CO,Town of Erie,Suburban,Town of Erie (Tech by Via Mobility Services),Microtransit,Spare,"Erie Bee app, Phone",Same-day (advance up to 7 days),Free,Not specified,2026,Local (DRCOG grant),Active - New,Not specified,"Launched April 21, 2026; free shared rides within Erie service zone. Most trips completed in under 30 minutes.",https://www.erieco.gov/2626/The-Erie-Bee,40.05,-105.05,Original database
Metro Flex,WA,Multiple zones across King County (~100 sq mi),Suburban,King County Metro (Tech by Via),Microtransit,Via,"Metro Flex app, Phone",Same-day,Bus fare (~$2.75),Not specified,2023,Local (King County Metro),Active,Not specified,"Nearly 30,000 rides in March 2024, a 20% year-over-year jump; unified three prior microtransit pilots (Via to Transit, Pingo, Community Ride).",https://kingcounty.gov/metro/flex,47.5,-122.1,Original database
Zip Shuttle (Community Transit),WA,"Alderwood (Lynnwood), Arlington, Darrington, Lake Stevens (Snohomish County)",Suburban,Community Transit,Microtransit,Not specified,"Zip app, Phone",Same-day,$2.50 or less,Not specified,2022,Local (Community Transit),Active,Not specified,"Surpassed 50,000 boardings in Alderwood zone; three new pilot zones added in late 2024 (Arlington, Darrington, Lake Stevens).",https://www.communitytransit.org/services,47.82,-122.22,Original database
Clallam Transit Interlink,WA,"Sequim (central ~3 sq mi) and Forks (central ~3 sq mi), Clallam County",Rural,Clallam Transit System,Microtransit,The Routing Company,"Interlink app, Phone",Same-day (up to 2 hrs advance),Same as fixed route,Same as replaced fixed routes; expanded Sat service in Sequim,2022,Local,Active,Not specified,Replaced Routes 17 (Forks) and 40 (Sequim); ridership in Forks up 333% in July 2024 after going fare-free; first 7 months of 2024 exceeded last 10 years of ridership.,https://www.clallamtransit.com,48.08,-123.43,Original database
SouthWest Prime,MN,"Eden Prairie, Chanhassen, Chaska, Victoria, Carver (+ select zones incl. MSP Airport, MOA)",Suburban,SouthWest Transit,Microtransit,May Mobility,"SW Prime app, Phone",Same-day,$5.00 ($2.50 seniors/TAP),Not specified,Not specified,Local,Active,Not specified · May Mobility autonomous vehicles (late 2024 pilot),"Named 2024 Minnesota Transit System of the Year; launched first autonomous microtransit in the Twin Cities in late 2024 with May Mobility. [NTD 2024: parent agency reported 537,877 total trips across all modes, 42 peak vehicles agency-wide; on-demand share is a subset]",https://www.swtransit.org,44.85,-93.45,Original database
Metro Transit Micro,MN,"North Minneapolis, Roseville, Woodbury, Bloomington, Blaine",Suburban,Metro Transit (Metropolitan Council),Microtransit,Spare,"Metro Micro app, Phone",Same-day,Standard Metro Transit fare (~$2.00),"Weekdays 5:30am–10:30pm, Weekends 7am–10:30pm",Not specified,Local (Metropolitan Council),Active - Expanding,~5 vehicles · ADA-accessible smaller transit vans (Spare platform),"Ridership jumped 180% in 2025 to over 120,000 after expanding to Roseville, Woodbury, Bloomington, and Blaine. Switched to Spare platform Nov 2024 with 96% on-time performance.",https://www.metrotransit.org/micro-project,45.02,-93.22,Original database
MVTA Connect,MN,"Apple Valley, Burnsville, Rosemount, Savage (Zone 1); Eagan (Zone 2); Prior Lake, Shakopee (Zone 3)",Suburban,Minnesota Valley Transit Authority (MVTA),Microtransit,Not specified,RideMVTA app,Same-day,$3.00 ,Daily 6am–9pm,Not specified,Local,Active,Not specified · EV minibuses,Fleet of EV minibuses; covers three distinct zones across southern Twin Cities suburbs.,https://www.mvta.com,44.73,-93.22,Original database
Maple Grove My Ride,MN,"Maple Grove (+ parts of Osseo, Brooklyn Park, Brooklyn Center; connections to Robbinsdale and Plymouth Transit Centers)",Suburban,Maple Grove Transit,Microtransit,Not specified,"My Ride app, Web portal, Phone",Same-day,$3.00 (10-ride pass $20),Not specified,Not specified,Local,Active,Not specified,"On-demand rideshare serving Maple Grove and surrounding suburbs. [NTD 2024: 39,563 annual trips, 10 peak vehicles]",https://www.maplegrovemn.gov/transit,45.07,-93.46,Original database
Plymouth Click-and-Ride,MN,"Plymouth (+ Ridgedale, Colonial Square, Golden Valley Center; connections to Maple Grove Transit Station)",Suburban,Plymouth Metrolink,Microtransit,Not specified,"Click-and-Ride app, Phone",Same-day,$3.00 ,"Mon–Fri 5am–8:30pm, Sat 6am–6:30pm, Sun 6am–5pm",Not specified,Local,Active,Not specified,"On-demand service within Plymouth with connections to Maple Grove Transit Station. [NTD 2024: parent agency reported 212,969 total trips across all modes, 21 peak vehicles agency-wide; on-demand share is a subset]",https://www.plymouthmn.gov/transit,44.97,-93.46,Original database
Ride Gwinnett Microtransit,GA,"Snellville, Lawrenceville, Norcross (Gwinnett County)",Suburban,Gwinnett County Dept. of Transportation,Microtransit,RideCo,"Ride Gwinnett app, Phone",Same-day,$3.00 ,Mon–Sat 6am–8pm,Not specified,Local,Active,Not specified,Expanded to Norcross/Gateway85 CID in September 2024; county aims for 100% transit coverage via microtransit.,https://www.gwinnettcounty.com/government/departments/transportation/gwinnett-county-transit/microtransit,33.96,-84.02,Original database
Via Jersey City,NJ,Jersey City (citywide),Urban,City of Jersey City (Tech by Via),Microtransit,Via,"Via app, Phone",Same-day,$2.00 ,Not specified,2020,Local,Active,~26+ vehicles · Mix of Mercedes Metris vans and Kia Niro EVs,Surpassed 2 million rides as of Jan 2024; 80% of rides serve people of color; 60% serve low-income residents. Blueprint for city-run microtransit.,https://ridewithvia.com/jersey-city,40.72,-74.07,Original database
MicroLink (NJ Transit),NJ,Monmouth County and Bergen County zones,Suburban,NJ Transit (Tech by Via),Microtransit,Via,"MicroLink app, Phone",Same-day,Free (pilot),Weekdays,2026,Federal (COVID relief grant $7M),Active - New,Not specified,"Launched April 6, 2026 as a two-year pilot; first-mile/last-mile connector to NJ Transit bus network.",https://www.njtransit.com,40.3,-74.2,Original database
CTDOT Microtransit Pilots – SEAT (SE Connecticut),CT,"Groton, New London, Stonington, Waterford (Southeastern Connecticut)",Suburban,Southeast Area Transit District (SEAT),Microtransit,Not specified,"App, Phone",Same-day,$3.00 ,Varies by zone; eve/weekend focus,2024,State (CTDOT $19.5M program),Active,Not specified,"Four zones launched under CTDOT statewide pilot: Groton, New London, Stonington HOP, and Waterford. Builds on existing SEAT New London Smart Ride service. [NTD 2024: parent agency reported 1,065,778 total trips across all modes, 29 peak vehicles agency-wide; on-demand share is a subset]",https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.38,-72.1,Original database
CTDOT Microtransit Pilot – Norwalk Transit,CT,City of Norwalk,Urban,Norwalk Transit District,Microtransit,Not specified,"App, Phone",Same-day,Not specified,Not specified,2024,State (CTDOT $19.5M program),Active,Not specified,Part of CTDOT statewide pilot; Norwalk Transit also operates pre-existing Wheels 2U Norwalk and Wheels 2U Westport services.,https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.12,-73.4,Original database
gbt connect (Trumbull),CT,Town of Trumbull,Suburban,Greater Bridgeport Transit (GBT),Microtransit,RideCo,"RideCo app, Web, Phone",Same-day,$4.00 ,Daily 6am–8pm,2024,State (CTDOT),Active,Not specified,Launched July 2024; connects to GBT fixed routes and Metro-North Railroad.,https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.24,-73.2,Original database
GHTD Link (Enfield/East Windsor),CT,Enfield and portions of East Windsor,Suburban,Greater Hartford Transit District,Microtransit,Not specified,"App, Phone",Same-day (advance up to 3 days),$3.00 ,"Mon–Sat 8am–6pm, Sun Noon–6pm",2024,State (CTDOT),Active,Not specified,Launched April 2024; connects to CTtransit Route 905 at Enfield Square Park & Ride.,https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.98,-72.59,Original database
VTD2GO (Valley Transit District),CT,"Ansonia, Derby, and parts of Shelton",Suburban,Valley Transit District,Microtransit,Not specified,VTD2GO app,Same-day,$2.00 (first ride free),Mon–Fri 5:30pm–11:30pm,2024,State (CTDOT),Active,Not specified,"Evening-only service launched April 2024; connects to Ansonia Train Station. [NTD 2024: 43,026 annual trips, 12 peak vehicles]",https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.34,-73.07,Original database
Milford Micro,CT,City of Milford,Suburban,Milford Transit,Microtransit,Not specified,"App, Phone",Same-day,$3.00 ,"Mon–Thu 6pm–Midnight, Fri–Sat 6pm–1am, Sun 8am–6pm",2024,State (CTDOT),Active,Not specified,"Connects to Metro-North New Haven Line, CT Post Mall, state parks, beaches, and medical facilities. [NTD 2024: parent agency reported 255,594 total trips across all modes, 11 peak vehicles agency-wide; on-demand share is a subset]",https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.23,-73.06,Original database
StamFORWARD (Stamford),CT,City of Stamford,Urban,City of Stamford,Microtransit,Not specified,"App, Phone",Same-day,$1.75 ,Daily 7am–7pm,2024,State (CTDOT),Active,4 electric vehicles,"Launched November 19, 2024; part of CTDOT statewide pilot. Fleet includes 4 electric vehicles.",https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.05,-73.54,Original database
Via NHV (New Haven),CT,City of New Haven,Urban,City of New Haven / CTDOT (Tech by Via),Microtransit,Via,"Via NHV app, Phone",Same-day,$1.75 (seniors/low-income $0.85),Daily 7am–7pm,2025,State (CTDOT $3M+),Active,Not specified,Connecticut's 9th microtransit pilot; part of statewide $19.5M program.,https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.31,-72.92,Original database
River Valley Transit Microtransit,CT,"Madison, Guilford, and portions of East Hampton and Middletown",Rural,River Valley Transit (Estuary Transit District),Microtransit,Not specified,"App, Phone",Same-day,Not specified,Not specified,2024,State (CTDOT),Active,Not specified,Part of CTDOT statewide pilot; River Valley Transit also operates pre-existing XtraMile on-demand service.,https://portal.ct.gov/dot/travel-gateway/public-transportation/microtransit-pilot-program,41.46,-72.62,Original database
COTA Plus,OH,8 zones across Columbus/Franklin County (expanding),Urban,Central Ohio Transit Authority (COTA),Microtransit,Via,"COTA app, Phone",Same-day,Bus fare,Not specified,Not specified,"Local (voter-approved $8B LinkUS ballot measure, 2024)",Active - Expanding,Not specified,2024 voters approved $8B LinkUS plan including 8 new COTA Plus on-demand zones alongside BRT.,https://www.cota.com/cotaplus,39.96,-82.99,Original database
Chula Vista Senior Microtransit,CA,City of Chula Vista,Suburban,City of Chula Vista (Tech by Circuit),Microtransit,Ride Circuit,Circuit app,Same-day,Free,Not specified,2022,Local,Active,Not specified,Senior-focused service (riders 55+); serves a fast-growing city with significant senior population growth projected.,https://www.chulavistaca.gov/transportation,32.64,-117.08,Original database
FlexRide Milwaukee,WI,North and northwest Milwaukee region,Urban,Milwaukee County Transit System (MCTS),Microtransit,Not specified,"App, Phone",Same-day,Not specified,Not specified,2022,"Federal, Local",Active,Not specified,"Celebrated its 50,000th ride in early January 2024; expanded reach with new service provider.",https://www.rideMCTS.com,43.08,-87.98,Original database
Sioux Falls On-Demand,SD,"Sioux Falls (citywide, integrated with fixed-route)",Urban,Sioux Falls Transit (Tech by Via),Microtransit,Via,"App, Phone",Same-day,Bus fare,Not specified,Not specified,Local,Active,Not specified,Cited as a national model for integrating on-demand and fixed-route transit; reimagined entire transit network with both modes.,https://www.siouxfalls.org/transit,43.55,-96.73,Original database
MARTA Reach,GA,"12 zones: West Atlanta, Kirkwood/Candler Park, County Line, Lakewood, Oakley Industrial, Fulton Industrial, East Point, Hillandale, Candler-McAfee/Belvedere Park, Cedar Grove, Gresham Park, North Fulton",Urban,Metropolitan Atlanta Rapid Transit Authority (MARTA),Microtransit,Not specified,"MARTA Reach app, Phone",Same-day,$2.50 ,Daily 18 hrs/day (7 days/week),2026,Local (MARTA),Active - New,Not specified · Ford Starcraft ADA-accessible vans (12 zones),"Launched March 7, 2026 as part of MARTA's NextGen Bus Network redesign. Replaces underperforming fixed bus routes in 12 zones; connects to MARTA rail and bus. Fleet of Ford Starcraft ADA-accessible vans.",https://itsmarta.com,33.75,-84.39,Original database
Camden Loop,NJ,City of Camden,Urban,Camden Community Partnership (Tech by Via),Microtransit,Via,Camden Loop app,Same-day,$2.00 ,Not specified,2023,Private/Nonprofit (Camden Community Partnership),Active,Not specified,"Surpassed 46,000 rides in first year; 44% of riders use it to commute to work. Connects to Ferry Avenue Station and regional transit.",https://city.ridewithvia.com/camden-loop,39.93,-75.12,Original database
Middlesex County RIDE On Demand,NJ,"New Brunswick, North Brunswick, East Brunswick (Middlesex County)",Urban,Middlesex County (Tech by Via),Microtransit,Via,"App, Phone",Same-day,$3.00 ,"Mon–Fri 6am–10pm, Sat–Sun 9am–6pm",2024,Local (Middlesex County),Active,Not specified,Launched February 2024 in New Brunswick; expanded to North Brunswick (Nov 2024) and East Brunswick to address food access gaps.,https://www.middlesexcountynj.gov,40.49,-74.45,Original database
Passaic County MOVE,NJ,Passaic and Clifton (Passaic County),Urban,Passaic County (Tech by Via),Microtransit,Via,Passaic County MOVE app,Same-day,$1.80 ,Mon–Fri 6am–8pm,2025,"Local (Passaic County, $1.6M Via contract)",Active,Not specified · 12-passenger vans,"Launched May 20, 2025; fleet of 12-passenger vans. Connects to NJ Transit stations within service area.",https://city.ridewithvia.com/passaic-county,40.85,-74.13,Original database
Via Newark,NJ,Newark Arts and Education District (city limits),Urban,City of Newark / Invest Newark (Tech by Via),Microtransit,Via,Via Newark app,Same-day,Free,Fri evenings and weekends,2025,Local (Urban Enterprise Zone funds),Pilot,Not specified,"Launched May 16, 2025 as a 6-month pilot; free weekend-only service connecting residents and visitors to Prudential Center, Rutgers Newark, Newark-Penn Station, and other arts/education destinations.",https://city.ridewithvia.com/newark,40.73,-74.17,Original database
ViaLC (Lorain County),OH,Cities of Lorain and Elyria (Lorain County),Urban,Lorain County Transit (Tech by Via),Microtransit,Via,"Via Lorain County app, Phone",Same-day,Not specified,Not specified,2024,"Local, Federal (ATTAIN $2.7M expansion grant 2025)",Active,Not specified,"Launched July 2024; neared 150,000 rides by early 2026; reduced cost-per-ride 36% vs fixed-route. $2.7M federal grant to expand hours to reach second/third shift workers.",https://city.ridewithvia.com/lorain,41.43,-82.13,Original database
